id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,uOMCode,uOM
,,,,,PER,%
,,,,,ALB,ALB
,,,,,BOE,BOE
,,,,,zzG,Bg
,,,,,BI,Biannual
,,,,,Brx,Brx
,,,,,zzO,Bt
,,,,,zzB,Bx
,,,,,CM2,CM2
,,,,,zzR,CNY
,,,,,csS,CSS
,,,,,zzi,Ca
,,,,,C,Celsius
,,,,,Ctr,Ctr
,,,,,zzf,Day
,,,,,zzh,Dz
,,,,,zzS,EUR
,,,,,zzu,Ea
,,,,,FT2,FT2
,,,,,F,Fahrenheit
,,,,,zzy,GB
,,,,,zzT,GBP
,,,,,GHz,GHz
,,,,,Gal,Gal
,,,,,GAL,Gallon
,,,,,Grm,Gram
,,,,,HA,HA
,,,,,zzt,Hr
,,,,,Hz,Hz
,,,,,IN2,IN2
,,,,,KHz,KHz
,,,,,KM2,KM2
,,,,,Kgr,Kilogram
,,,,,zzb,L
,,,,,Lab,Lab
,,,,,Lg,Lg
,,,,,Ltr,Liter
,,,,,lm,Lumen
,,,,,M2,M2
,,,,,zzq,MB
,,,,,MG,MG_Each
,,,,,MHz,MHz
,,,,,MI2,MI2
,,,,,MM2,MM2
,,,,,Mll,Mililiter
,,,,,zzg,Min
,,,,,MT,Mnth
,,,,,zzv,Month
,,,,,NM,Nm
,,,,,P,P
,,,,,PLT,PLT
,,,,,PSI,PSI
,,,,,PU,PU
,,,,,zzK,Pk
,,,,,QTR,QTR
,,,,,zzd,Sec
,,,,,zzp,TB
,,,,,T,TEMP
,,,,,zzU,USD
,,,,,V,V
,,,,,W,Watts
,,,,,zze,Week
,,,,,YR,Year
,,,,,zzj,Yr
,,,,,amp,amp
,,,,,cSt,cSt
,,,,,cg,cg
,,,,,zzn,cm
,,,,,cm3,cm3
,,,,,zzc,cu ft
,,,,,zzs,cu in
,,,,,dl,dl
,,,,,eV,eV
,,,,,zzw,fl oz
,,,,,zzm,ft
,,,,,zzV,g
,,,,,hl,hl
,,,,,zzx,in
,,,,,zzQ,kWh
,,,,,zzX,kg
,,,,,zzk,km
,,,,,zzr,lb
,,,,,zzo,m
,,,,,zzZ,m3
,,,,,mA,mA
,,,,,zza,mL
,,,,,zzW,mg
,,,,,mm,mg_mg
,,,,,mi,mi
,,,,,zzl,mm
,,,,,mm3,mm3
,,,,,mp,mp
,,,,,ns,ns
,,,,,zzY,oz
,,,,,px,px
,,,,,yd,yd
,,,,,mmi,Î¼m
